2,3,3,0
2,3,10,1
2,15,3,0
2,15,10,1
2,4,3,0
2,4,10,1
2,15,3,0
2,15,10,1
2,3,3,0
2,3,10,1
2,15,3,0
2,15,10,1
2,3,3,0
2,3,10,1
2,15,3,0
2,15,10,1
2,3,3,0
2,3,10,1
2,15,3,0
2,15,10,1
2,2,3,0
2,2,10,1
2,15,3,0
2,15,10,1
2,3,3,0
2,3,10,1
2,15,3,0
2,15,10,1
2,4,3,0
2,4,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,2,3,0
2,2,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
2,15,3,0
2,15,10,1
